Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
-152.54902964089837,-38.09616059700203,99.6491340521554,-152.47524642955892,-88.22526510267336,-62.53474466743596
-152.5783933004041,-38.05644509485677,99.54304537864151,-152.4079641653174,-88.22479279201323,-62.56411834218937
-154.7126373113692,-39.35147752759415,102.96867668765476,-154.47180021950055,-88.1917133248591,-64.69915031886319
-153.8479159601065,-40.4630918743402,106.09735761133821,-156.5160657464336,-88.20481611479596,-63.834100311930854
-153.96534985082712,-40.52609073285156,106.27291326080613,-156.6249404972501,-88.2030125709983,-63.951578219408105
-153.9357193461371,-40.56157675476451,106.37509268722104,-156.69256215751952,-88.20346702539001,-63.92193629168395
-155.6128452580796,-41.410018220737015,108.77859566345218,-158.194657225058,-88.17851063580807,-65.59971342389387
-150.26824300409032,-45.61523385981618,123.42600940724232,-168.80296073449927,-88.2633728085801,-60.25320565619695
-150.13274551621643,-45.57167029109833,123.24712307869012,-168.6717410178074,-88.26572426447798,-60.117666041837495
-150.0926701768505,-45.590398590943764,123.32986953788442,-168.73697278321347,-88.26642141664864,-60.07757834198605
-145.1583954840855,-43.58458257217228,116.01431991724596,-163.57266978958882,-88.35863948129597,-55.142023058132956
-146.39376466938273,-42.85749418932712,113.56317041969871,-161.81295196139624,-88.33438140254485,-56.37766884725915
-146.33539063493848,-42.82659067850428,113.46601783594488,-161.7483996457722,-88.33551034186182,-56.31928130970268
-146.37539220461323,-42.80096919417621,113.38227629972602,-161.68911813723287,-88.33473650139852,-56.35929207978377
-142.10803368845038,-40.106833382315756,105.44384835323719,-156.56567517656828,-88.4217803786372,-52.09111046268142
-143.62307335313932,-38.96097251598873,102.21863436183136,-154.44416412416558,-88.38984946359363,-53.606399976965854
-143.5722337382291,-38.92153624773689,102.11246739325568,-154.37886225299022,-88.39090285912343,-53.55555124001584
-143.61084529303872,-38.88970756321096,102.02474899605681,-154.32188798394674,-88.39010267943394,-53.59417002078726
-142.17035990307812,-37.705058996592676,98.88609117832966,-152.40797485683316,-88.42044487179137,-52.15344597005214
-137.5499638855825,-40.797130470253876,107.55615671586379,-158.10921913920214,-88.5244039779627,-47.53257584642116
-145.92313439403924,-45.434879411560004,122.91259348858911,-168.59863518535244,-88.34353198810273,-55.90693023076332
-142.07367480531357,-46.52223230751911,128.49899871230647,-173.20637208400774,-88.42251736287932,-52.05674690197827
-142.00802217969292,-46.50457530064814,128.40022953375592,-173.12706726320434,-88.42392727571792,-51.991084102474154
-141.95517215281183,-46.51487121795963,128.46538736258293,-173.18338271882362,-88.42506372376582,-51.93822613870321
-139.5027251580793,-45.72002255718094,124.54095896137869,-170.120065919133,-88.47925642000006,-49.48548315573128
-132.4561796224519,-46.76962856382939,131.04616703171,-175.7523993236653,-88.65009682096873,-42.438792235461655
-128.71974608221012,-45.333936358624236,123.36453145967228,-169.5912730143064,-88.74913133002813,-38.70270836332202
-130.44550157262697,-45.05339247806296,122.09199094013235,-168.56090525596733,-88.70270360227066,-40.42826576993489
-130.4955129629972,-45.08075291804859,122.20361772316252,-168.6440394623046,-88.70137533701661,-40.478272363867035
-130.61620557111732,-45.05905033007444,122.1080884912752,-168.56747468119485,-88.6981740433875,-40.598954211123285
-132.1744668489957,-45.81658030495372,125.41639845653627,-171.08229755603946,-88.65736880065519,-42.157095471897115
-136.66010758521685,-44.88986668481498,121.15066388616962,-167.63374192085755,-88.54554884233687,-46.64267990992623
-136.60478569473062,-44.862460292710765,121.04423999412262,-167.5561277980843,-88.54687505599867,-46.58735598106858
-136.65859685457713,-44.84782341398796,120.98379371019251,-167.50895316102566,-88.54558516638279,-46.641168979303686
-136.60338157401748,-44.82024401179529,120.87731048757477,-167.4314503622748,-88.54690872475122,-46.585951890812815
-136.65709146194115,-44.805484200405274,120.8167542944961,-167.38429173306935,-88.54562098799084,-46.63966379982435
-134.64241919735116,-43.666983832568434,116.70181402180027,-164.4581281844973,-88.5947843010272,-44.62496385354354
-136.6038474809837,-42.98778033899793,114.33848493550254,-162.72507757281937,-88.54689756817376,-46.586417714650636
-136.5525065407021,-42.9540141732009,114.22935425577391,-162.65101442985474,-88.5481296285346,-46.53507476833737
-136.60254310054748,-42.9347123465022,114.16439058698795,-162.60408361284482,-88.54692884923828,-46.585113343252395
-132.84362892142937,-39.93428290660005,105.19880981915117,-156.7312272816342,-88.64014869100862,-42.8262221979569
-129.30190274595117,-41.288613081531246,109.22988222264476,-159.48916027606313,-88.73334072293456,-39.28479125147952
-129.25932735405823,-41.248533419546604,109.11079855075124,-159.41109734805016,-88.73449074474142,-39.24222086232694
-129.20565426700944,-41.26584733741508,109.1640128062563,-159.44818166482108,-88.7359425734196,-39.18855536387752
-126.13447115567313,-37.8078430146645,99.506601047475,-153.31425683972267,-88.82079136090032,-36.117845283538365
-121.95259490626346,-39.115151711383035,103.134585294967,-155.71660005814977,-88.94171963950215,-31.936919832215022
-121.91890719930488,-39.06827221930003,103.00537690037612,-155.63489291519744,-88.94271772696027,-31.90324095151599
-121.86319394875281,-39.08254181052301,103.04586603452353,-155.66213826963155,-88.94436865604074,-31.847543057348588
-118.95336618891498,-34.1024113104651,90.11203374400999,-147.75981777284406,-89.0319554864502,-28.9385794325581
-116.89535733477963,-34.68052816289206,91.57947694605633,-148.68276507493312,-89.09542111537645,-26.881274684080584
-116.55709567586771,-33.923093430685405,89.69734542195702,-147.56337592465343,-89.10596654218814,-26.54313575525573
-116.50408237039055,-33.936823062861436,89.73195826435158,-147.58508464267672,-89.10762173740014,-26.490142054580048
-117.54325671990513,-36.144445622826446,95.28793068193009,-150.9169632462032,-89.07531138133196,-27.52894438919433
-116.38991539499266,-36.16380655715184,95.35302293042527,-150.98094016942167,-89.11118974985416,-26.37601702804505
